scenario_id,target_viscosity_delta_pct,temperature_c,time_h,biofuel_pct,catalyst_category,severity_exp,temperature_x_time,temperature_x_biofuel,severity_x_biofuel,severity_x_catalyst,regime_load,nl__temperature_centered,nl__temperature_centered_sq,nl__time_log1p,nl__biofuel_sq,nl__severity_log1p,nl__severity_sq_scaled,nl__regime_load_log1p,nl__catalyst_x_biofuel_sq,base_oil__kv40__wm,base_oil__kv100__wm,base_oil__ccs_m35__wm,base_oil__pour_point_c__max,catcount__base_oil__группа_по_api__1,textnum__base_oil__происхождение__origin_is_mineral__wm,base_oil_visc_ratio,nl__baseoil_visc_ratio_sq,nl__ccs_x_temp,family_total_dose__antiwear,antiwear__sulfur_pct__wm,antiwear__chain_length__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,interaction__biofuel_x_zddp,antiwear_severity,nl__zddp_bio_log1p,nl__antiwear_x_biofuel,nl__antiwear_x_temp,nl__sulfur_x_chain,antioxidant__ionization_ev__wm
train_1,25.4,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,456.6713471811196,456.6713471811196,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,6.126151343954602,0.0,38.46418020581275,5.4237720703592425,200.0,0.0,2.0,0.5203186906692903,7.091776665177061,50.29329626874988,2000.0,99.235,15.000000000000002,20.0,0.0,0.0,0.0,45317.7811375184,0.0,0.0,992.35,300.00000000000006,7.2
train_10,-23.78,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,456.6713471811196,456.6713471811196,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,6.126151343954602,0.0,28.497928025109328,4.841361083132428,2800.0,-15.0,1.0,0.2875356592824605,5.886346326118433,34.649073071007976,28000.0,11.027,17.94,,1.0,0.0,0.0,5035.714945366205,0.0,0.0,110.27,,7.179999999999999
train_100,157.99,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,18.54155331954317,3.4363374997249303,,-23.0,0.0,0.0,5.395731158836224,29.113914738436097,,0.295,15.0,20.0,0.0,0.0,2.065,49.56,1.1200475693881746,2.065,0.0,300.0,7.179999999999999
train_101,241.52,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,1512.0,216.0,367.2,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,5.908626268798978,0.48999999999999994,18.54155331954317,3.4363374997249303,,-23.0,0.0,0.0,5.395731158836224,29.113914738436097,,0.295,15.0,20.0,0.0,0.0,2.065,63.72,1.1200475693881746,2.065,0.0,300.0,7.179999999999999
train_102,552.67,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,25.217392831782337,4.252592058686912,,-23.0,0.0,0.0,5.929887580039549,35.16356671190729,,93.926,15.990000000000002,24.800000000000004,0.0,1.0,657.482,15779.568,6.489937185957795,657.482,0.0,396.55200000000013,7.179999999999999
train_103,10.67,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,25.217392831782337,4.252592058686912,,-23.0,0.0,0.0,5.929887580039549,35.16356671190729,,93.926,15.990000000000002,24.800000000000004,0.0,1.0,657.482,42893.31295533384,6.489937185957795,657.482,939.26,396.55200000000013,7.179999999999999
train_104,11.36,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,24.038669775671785,4.329261898692418,,-23.0,0.0,0.0,5.552602346125622,30.83139281419976,,93.926,15.990000000000002,24.800000000000004,0.0,1.0,657.482,42893.31295533384,6.489937185957795,657.482,939.26,396.55200000000013,6.5
train_105,11.08,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,24.18842160158982,4.319521316734555,,-23.0,0.0,0.0,5.59979215934872,31.3576722279034,,93.926,15.990000000000002,24.800000000000004,0.0,1.0,657.482,42893.31295533384,6.489937185957795,657.482,939.26,396.55200000000013,6.5
train_106,861.54,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,5.2017722073575765,27.058434097237715,,93.926,15.990000000000002,24.800000000000004,0.0,1.0,657.482,15779.568,6.489937185957795,657.482,0.0,396.55200000000013,6.5
train_107,1763.34,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,1512.0,216.0,367.2,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,5.908626268798978,0.48999999999999994,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,5.2017722073575765,27.058434097237715,,93.926,15.990000000000002,24.800000000000004,0.0,1.0,657.482,20288.016,6.489937185957795,657.482,0.0,396.55200000000013,6.5
