scenario_id,target_oxidation_acm,temperature_c,time_h,biofuel_pct,catalyst_category,severity_exp,temperature_x_time,temperature_x_biofuel,severity_x_biofuel,severity_x_catalyst,regime_load,nl__temperature_centered,nl__temperature_centered_sq,nl__time_log1p,nl__biofuel_sq,nl__severity_log1p,nl__severity_sq_scaled,nl__regime_load_log1p,nl__catalyst_x_biofuel_sq,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,antioxidant__ionization_ev__wm,antioxidant__bde_xh_kcal__wm,antioxidant_balance,nl__phenol_x_severity,nl__dpa_x_severity,nl__antioxidant_energy,nl__antioxidant_balance_abs,detergent__tbn_astm__wm,nl__tbn_x_biofuel,interaction__biofuel_x_zddp,antiwear__sulfur_pct__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,base_oil__ccs_m35__wm,base_oil__pour_point_c__max,base_oil_visc_ratio,nl__baseoil_visc_ratio_sq,nl__ccs_x_temp
train_1,98.04,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,456.6713471811196,456.6713471811196,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,6.126151343954602,0.0,1.0,0.0,7.2,362.92,1.0,456.6713471811196,0.0,2613.0240000000003,1.0,353.2432267355249,0.0,0.0,15.000000000000002,0.0,200.0,0.0,7.091776665177061,50.29329626874988,2000.0
train_10,85.04,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,456.6713471811196,456.6713471811196,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,6.126151343954602,0.0,0.535201554761457,0.464798445238543,7.179999999999999,358.32738950536014,0.070403109522914,244.41121502634434,212.26013215477528,2572.7906566484853,0.07040310952291401,238.04655310536745,0.0,0.0,17.94,1.0,2800.0,-15.0,5.886346326118433,34.649073071007976,28000.0
train_100,105.26,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,-0.2239972730371549,65.18422906487898,102.81577093512101,2579.9247139188724,0.22399727303715494,266.18194572294374,1863.2736200606062,2.065,15.0,0.0,,-23.0,5.395731158836224,29.113914738436097,
train_101,126.73,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,1512.0,216.0,367.2,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,5.908626268798978,0.48999999999999994,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,-0.2239972730371549,83.80829451198726,132.19170548801273,2579.9247139188724,0.22399727303715494,266.18194572294374,1863.2736200606062,2.065,15.0,0.0,,-23.0,5.395731158836224,29.113914738436097,
train_102,86.92,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,0.0,1.0,7.179999999999999,361.94,-1.0,0.0,168.0,2598.7291999999998,1.0,120.98717349535234,846.9102144674664,657.482,15.990000000000002,0.0,,-23.0,5.929887580039549,35.16356671190729,
train_103,10.6,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,0.0,1.0,7.179999999999999,361.94,-1.0,0.0,456.6713471811196,2598.7291999999998,1.0,120.98717349535234,846.9102144674664,657.482,15.990000000000002,0.0,,-23.0,5.929887580039549,35.16356671190729,
train_104,11.48,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,456.6713471811196,2420.47,1.0,198.0752270072064,1386.5265890504447,657.482,15.990000000000002,0.0,,-23.0,5.552602346125622,30.83139281419976,
train_105,10.1,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,456.6713471811196,2420.47,1.0,410.9,2876.2999999999997,657.482,15.990000000000002,0.0,,-23.0,5.59979215934872,31.3576722279034,
train_106,84.25,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,168.0,2420.47,1.0,410.9,2876.2999999999997,657.482,15.990000000000002,0.0,,-23.0,5.2017722073575765,27.058434097237715,
train_107,95.47,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,1512.0,216.0,367.2,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,5.908626268798978,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,216.0,2420.47,1.0,410.9,2876.2999999999997,657.482,15.990000000000002,0.0,,-23.0,5.2017722073575765,27.058434097237715,
train_108,11.28,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,3196.699430267837,456.6713471811196,776.3412902079033,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.655879494866398,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,456.6713471811196,2420.47,1.0,410.9,2876.2999999999997,657.482,15.990000000000002,0.0,,-23.0,5.2017722073575765,27.058434097237715,
train_109,92.78,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,1176.0,168.0,285.6,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,5.6580875153940715,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,168.0,2420.47,1.0,410.9,2876.2999999999997,657.482,15.990000000000002,0.0,,-23.0,4.854308244678515,23.56430853435381,
train_11,6.53,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,456.6713471811196,456.6713471811196,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,6.126151343954602,0.0,0.0,1.0,7.18,361.94,-1.0,0.0,456.6713471811196,2598.7291999999998,1.0,377.7,0.0,0.0,15.0,0.0,,-19.0,5.350993995554684,28.63313674046228,
train_110,107.79,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,1512.0,216.0,367.2,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,5.908626268798978,0.48999999999999994,0.0,1.0,6.5,372.38,-1.0,0.0,216.0,2420.47,1.0,410.9,2876.2999999999997,657.482,15.990000000000002,0.0,,-23.0,4.854308244678515,23.56430853435381,
