scenario_id,target_oxidation_acm,temperature_c,time_h,biofuel_pct,catalyst_category,severity_exp,temperature_x_time,temperature_x_biofuel,interaction__biofuel_x_zddp,base_oil__kv40__wm,base_oil__kv100__wm,base_oil__ccs_m35__wm,base_oil__pour_point_c__max,catcount__base_oil__группа_по_api__1,textnum__base_oil__происхождение__origin_is_mineral__wm,family_total_dose__antiwear,antiwear__sulfur_pct__wm,antiwear__chain_length__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,textnum__antioxidant__тип_ао__ao_type_is_phenol__wm,textnum__antioxidant__тип_ао__ao_type_is_diphenylamine__wm,antioxidant__ionization_ev__wm,antioxidant__bde_xh_kcal__wm,detergent__tbn_astm__wm,severity_x_biofuel,severity_x_catalyst,regime_load,base_oil_visc_ratio,antiwear_severity,antioxidant_balance,nl__temperature_centered,nl__temperature_centered_sq,nl__time_log1p,nl__biofuel_sq,nl__severity_log1p,nl__severity_sq_scaled,nl__zddp_bio_log1p,nl__antiwear_x_biofuel,nl__antiwear_x_temp,nl__sulfur_x_chain,nl__phenol_x_severity,nl__dpa_x_severity,nl__antioxidant_energy,nl__antioxidant_balance_abs,nl__tbn_x_biofuel,nl__baseoil_visc_ratio_sq,nl__ccs_x_temp,nl__regime_load_log1p,nl__catalyst_x_biofuel_sq,family_total_dose__moly,antioxidant__active_no_pct__wm,antioxidant__steric_factor__wm,antioxidant__chemical_potential__wm,antioxidant__homo_ev__wm,antioxidant__lumo_ev__wm,antioxidant__dipole_moment__wm,antioxidant__nitrogen_total_pct__wm,moly__mo_pct__wm,moly__s_mo_ratio__wm,moly__phosphorus_pct__wm,moly__coc_c__wm,moly__category_modtc__wm,moly__category_modtp__wm,moly__category_amine_complex__wm,moly__ligand_dtc__wm,moly__ligand_dtp__wm,moly__ligand_amide__wm,confidence__ao_ionization_exact_share,confidence__ao_bde_exact_share,confidence__ao_active_no_exact_share,confidence__moly_mo_pct_exact_share,confidence__moly_category_exact_share,confidence__detergent_tbn_exact_share,moly__present,interaction__moly_x_diphenylamine,interaction__moly_x_phenol,interaction__moly_x_tbn,interaction__active_no_x_severity,interaction__steric_x_severity
train_1,98.04,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,38.46418020581275,5.4237720703592425,200.0,0.0,2.0,0.5203186906692903,99.235,15.000000000000002,20.0,0.0,0.0,1.0,0.0,7.2,362.92,353.2432267355249,0.0,456.6713471811196,456.6713471811196,7.091776665177061,45317.7811375184,1.0,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,0.0,0.0,992.35,300.00000000000006,456.6713471811196,0.0,2613.0240000000003,1.0,0.0,50.29329626874988,2000.0,6.126151343954602,0.0,,4.102564103,62.39999999999999,-2.84,-5.73,-0.05,2.58,,,,,,,,,,,,0.0,0.0,0.0,,,0.7771129208461615,0.0,,,,1873.5234758139113,28496.292064101857
train_10,85.04,160.0,168.0,0.0,1.0,456.6713471811196,26880.0,0.0,0.0,28.497928025109328,4.841361083132428,2800.0,-15.0,1.0,0.2875356592824605,11.027,17.94,,1.0,0.0,0.535201554761457,0.464798445238543,7.179999999999999,358.32738950536014,238.04655310536745,0.0,456.6713471811196,456.6713471811196,5.886346326118433,5035.714945366205,0.070403109522914,10.0,1.0,5.1298987149230735,0.0,6.126151343954602,0.20854871933621866,0.0,0.0,110.27,,244.41121502634434,212.26013215477528,2572.7906566484853,0.07040310952291401,0.0,34.649073071007976,28000.0,6.126151343954602,0.0,,4.254755798840887,60.215447307378845,-2.75,-5.3011209328568745,-0.08352360353582845,1.139425741332832,,,,,,,,,,,,0.0,0.0,0.0,,,1.0,0.0,,,,1943.0250625833485,27498.669442974417
train_100,105.26,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,2.065,18.54155331954317,3.4363374997249303,,-23.0,0.0,0.0,0.295,15.0,20.0,0.0,0.0,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,266.18194572294374,1176.0,168.0,285.6,5.395731158836224,49.56,-0.2239972730371549,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,1.1200475693881746,2.065,0.0,300.0,65.18422906487898,102.81577093512101,2579.9247139188724,0.22399727303715494,1863.2736200606062,29.113914738436097,,5.6580875153940715,0.48999999999999994,,4.3029544255112375,59.52360640836268,-2.75,-5.212800818088854,-0.12105965231223724,0.9745615270991933,,,,,,,,,,,,0.0,0.0,0.0,,,0.6213305202615081,0.0,,,,722.8963434858879,9999.96587660493
train_101,126.73,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,2.065,18.54155331954317,3.4363374997249303,,-23.0,0.0,0.0,0.295,15.0,20.0,0.0,0.0,0.3880013634814225,0.6119986365185774,7.179999999999999,359.3209907965004,266.18194572294374,1512.0,216.0,367.2,5.395731158836224,63.72,-0.2239972730371549,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,1.1200475693881746,2.065,0.0,300.0,83.80829451198726,132.19170548801273,2579.9247139188724,0.22399727303715494,1863.2736200606062,29.113914738436097,,5.908626268798978,0.48999999999999994,,4.3029544255112375,59.52360640836268,-2.75,-5.212800818088854,-0.12105965231223724,0.9745615270991933,,,,,,,,,,,,0.0,0.0,0.0,,,0.6213305202615081,0.0,,,,929.4381559104273,12857.098984206339
train_102,86.92,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,25.217392831782337,4.252592058686912,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,7.179999999999999,361.94,120.98717349535234,1176.0,168.0,285.6,5.929887580039549,15779.568,-1.0,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,6.489937185957795,657.482,0.0,396.55200000000013,0.0,168.0,2598.7291999999998,1.0,846.9102144674664,35.16356671190729,,5.6580875153940715,0.48999999999999994,12.301,4.43,57.7,-2.75,-4.98,-0.21999999999999997,0.54,,7.500000000000001,,0.0,150.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23887417562444827,1.0,12.301,0.0,1488.2632211663292,744.24,9693.6
train_103,10.6,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,25.217392831782337,4.252592058686912,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,7.179999999999999,361.94,120.98717349535234,3196.699430267837,456.6713471811196,776.3412902079033,5.929887580039549,42893.31295533384,-1.0,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.489937185957795,657.482,939.26,396.55200000000013,0.0,456.6713471811196,2598.7291999999998,1.0,846.9102144674664,35.16356671190729,,6.655879494866398,0.48999999999999994,12.301,4.43,57.7,-2.75,-4.98,-0.21999999999999997,0.54,,7.500000000000001,,0.0,150.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23887417562444827,1.0,12.301,0.0,1488.2632211663292,2023.0540680123597,26349.9367323506
train_104,11.48,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,24.038669775671785,4.329261898692418,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,198.0752270072064,3196.699430267837,456.6713471811196,776.3412902079033,5.552602346125622,42893.31295533384,-1.0,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.489937185957795,657.482,939.26,396.55200000000013,0.0,456.6713471811196,2420.47,1.0,1386.5265890504447,30.83139281419976,,6.655879494866398,0.48999999999999994,12.301,3.5,72.1,-2.56,-5.15,-0.34,1.36,,7.500000000000001,,0.0,150.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36194491677366375,1.0,12.301,0.0,2436.5233674156457,1598.3497151339186,32926.00413175872
train_105,10.1,160.0,168.0,7.0,1.0,456.6713471811196,26880.0,1120.0,657.482,24.18842160158982,4.319521316734555,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,3196.699430267837,456.6713471811196,776.3412902079033,5.59979215934872,42893.31295533384,-1.0,10.0,1.0,5.1298987149230735,0.48999999999999994,6.126151343954602,0.20854871933621866,6.489937185957795,657.482,939.26,396.55200000000013,0.0,456.6713471811196,2420.47,1.0,2876.2999999999997,31.3576722279034,,6.655879494866398,0.48999999999999994,12.301,3.5,72.1,-2.56,-5.15,-0.34,1.36,,7.500000000000001,,0.0,150.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.301,0.0,5054.4809,1598.3497151339186,32926.00413175872
train_106,84.25,150.0,168.0,7.0,1.0,168.0,25200.0,1050.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1176.0,168.0,285.6,5.2017722073575765,15779.568,-1.0,0.0,0.0,5.1298987149230735,0.48999999999999994,5.1298987149230735,0.028224000000000003,6.489937185957795,657.482,0.0,396.55200000000013,0.0,168.0,2420.47,1.0,2876.2999999999997,27.058434097237715,,5.6580875153940715,0.48999999999999994,12.301,3.5,72.1,-2.56,-5.15,-0.34,1.36,,7.500000000000001,,0.0,150.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.301,0.0,5054.4809,588.0,12112.8
train_107,95.47,150.0,216.0,7.0,1.0,216.0,32400.0,1050.0,657.482,17.43976405102435,3.3526581626079115,,-23.0,0.0,0.0,93.926,15.990000000000002,24.800000000000004,0.0,1.0,0.0,1.0,6.5,372.38,410.9,1512.0,216.0,367.2,5.2017722073575765,20288.016,-1.0,0.0,0.0,5.37989735354046,0.48999999999999994,5.37989735354046,0.046655999999999996,6.489937185957795,657.482,0.0,396.55200000000013,0.0,216.0,2420.47,1.0,2876.2999999999997,27.058434097237715,,5.908626268798978,0.48999999999999994,12.301,3.5,72.1,-2.56,-5.15,-0.34,1.36,,7.500000000000001,,0.0,150.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.301,0.0,5054.4809,756.0,15573.599999999999
