scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",detergent_share,weighted_zinc,zinc_rich_share,detergent_weighted_ca,detergent_weighted_tbn,detergent_zinc_interaction,detergent_zinc_presence_interaction
train_1,160,168,0,1,25.4,98.04,0.14942827249994436,1.1161861123024677,0.12272415848588057,1.3005735825535925,47.12256783930785,0.16678976254978664,0.01833845899655452
train_10,160,168,0,1,-23.78,85.04,0.19736239887226242,0.18537001143382112,0.01835236473723015,1.80577441253959,46.981438764148734,0.03658507013555765,0.0036220667295184606
train_100,150,168,7,1,157.99,105.26,0.3116008935843242,0.004072372374258574,0.0,3.334611125417952,79.4027196954946,0.0012689548708270876,0.0
train_101,150,216,7,1,241.52,126.73,0.3116008935843242,0.004072372374258574,0.0,3.334611125417952,79.4027196954946,0.0012689548708270876,0.0
train_102,150,168,7,1,552.67,86.92,0.10816554265322095,1.5591852102048689,0.17585911199817264,0.6117078963036746,10.616815640575325,0.16865011435868602,0.0190218962797959
train_103,160,168,7,1,10.67,10.6,0.10816554265322095,1.5591852102048689,0.17585911199817264,0.6117078963036746,10.616815640575325,0.16865011435868602,0.0190218962797959
train_104,160,168,7,1,11.36,11.48,0.23728045978904377,1.1407515212397177,0.1288984769762393,1.6950499943734028,44.340580527582674,0.27067804546481133,0.030585089883029534
train_105,160,168,7,1,11.08,10.1,0.033971603908739066,1.481181709324951,0.1673651648954747,0.5353924776017277,13.958932046100882,0.05031811834605632,0.005685663089949867
train_106,150,168,7,1,861.54,84.25,0.06047321280961596,1.6167522780538564,0.18268387322642446,0.9530578338795476,24.848443143471197,0.09777020457118225,0.01104748074250647
train_107,150,216,7,1,1763.34,95.47,0.06047321280961596,1.6167522780538564,0.18268387322642446,0.9530578338795476,24.848443143471197,0.09777020457118225,0.01104748074250647
train_108,160,168,7,1,11.68,11.28,0.06047321280961596,1.6167522780538564,0.18268387322642446,0.9530578338795476,24.848443143471197,0.09777020457118225,0.01104748074250647
train_109,150,168,7,1,178.68,92.78,0.0541553596248907,1.4478785493079918,0.1635982345338828,0.8534884676882775,22.25243726986759,0.07841038353093933,0.008859721225179636
train_11,160,168,0,1,-15.32,6.53,0.032682250059661286,0.0,0.0,0.48075589837761756,12.344085847534068,0.0,0.0
train_110,150,216,7,1,775.51,107.79,0.0541553596248907,1.4478785493079918,0.1635982345338828,0.8534884676882775,22.25243726986759,0.07841038353093933,0.008859721225179636
train_111,160,168,7,1,12.98,8.58,0.0541553596248907,1.4478785493079918,0.1635982345338828,0.8534884676882775,22.25243726986759,0.07841038353093933,0.008859721225179636
train_112,150,168,7,1,65.88,88.46,0.05174471144484774,1.383432594741318,0.1563158937079882,0.8154966523708004,21.261901932687934,0.07158532041828648,0.008088520814163341
train_113,150,216,7,1,176.84,103.13,0.05174471144484774,1.383432594741318,0.1563158937079882,0.8154966523708004,21.261901932687934,0.07158532041828648,0.008088520814163341
train_114,150,168,7,1,63.8,45.59,0.05907477637008945,1.5793650582539764,0.17845932861626854,0.9310184755926096,24.273825610469753,0.09330063762308695,0.010542444929162368
train_115,150,216,7,1,177.56,53.59,0.05907477637008945,1.5793650582539764,0.17845932861626854,0.9310184755926096,24.273825610469753,0.09330063762308695,0.010542444929162368
train_116,160,168,7,1,12.8,15.78,0.05907477637008945,1.5793650582539764,0.17845932861626854,0.9310184755926096,24.273825610469753,0.09330063762308695,0.010542444929162368
train_117,150,168,7,1,482.89,91.23,0.06047321280961596,1.6167522780538564,0.18268387322642446,0.9530578338795476,24.848443143471197,0.09777020457118225,0.01104748074250647
