scenario_id,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,target_viscosity,target_oxidation
train_1,4.421434697820141,6.469785301835292,-0.8756675321864387,2.0355165458982136,3.556297847841751,-0.2569629839000528,-1.5176019501454663,-2.6191239506831185,25.4,98.04
train_10,5.978666565223317,0.033139414567714805,0.9228286350872191,-0.1673736178416231,-2.1197102121433073,-1.1684251207033178,0.6079521779818609,1.5051234067470352,-23.78,85.04
train_100,-1.3907850207457615,2.6570172284289493,0.00023219978719435006,3.440889406547517,-3.812658929958254,1.1690781447707586,-1.115457119818297,0.09224077937386017,157.99,105.26
train_101,-2.543056973956065,4.610963150553061,3.209344756843624,6.167888604823337,-2.288591474976213,-0.13699979859200123,-1.7978631731784807,-1.5144826381555005,241.52,126.73
train_102,-8.235933749880095,0.5865115071757442,0.41640364422934484,0.5959715359550859,2.0959442588955817,-2.3707409720586745,2.2629277663664618,2.4066560752865422,552.67,86.92
train_103,-7.294275728510253,-0.5841597803282069,-1.3763207117370269,-1.0375478050971538,0.44926988229708087,-0.32064628399530615,0.36701883817060604,-0.19095005734611678,10.67,10.6
train_104,-9.119264003781002,-0.3779438214303719,-1.6264791550307824,-3.6412937217334265,-1.9955097664757966,2.2637900100147337,-0.05269878245616077,-0.7393525297421589,11.36,11.48
train_105,-10.119379858498515,0.5443966958153035,-1.0445244811701346,-3.545604313391693,-2.0243702296462542,1.875415061318967,-1.0997547993050334,-1.4525209635316756,11.08,10.1
train_106,-11.140506717420589,1.6476003600613476,0.8814033968445336,-1.7176688284204822,-0.3246880919608526,-0.36641568274853525,1.1211650618962679,1.5377792675699378,861.54,84.25
train_107,-12.292778670630895,3.6015462821854514,4.09051595390097,1.009330369855349,1.1993793630211889,-1.6724936261113001,0.4387590085360832,-0.06894414995942541,1763.34,95.47
train_108,-10.198848696050748,0.4769290725573931,-0.9113209591218433,-3.351188169472723,-1.9713624685593552,1.6836790053148274,-0.7747438662995919,-1.0598268650627254,11.68,11.28
train_109,-11.152260934025115,1.635290403819349,0.9002033968842821,-1.6880367520118282,-0.318258368331846,-0.39520462947373797,1.1698064756168127,1.5947746305380384,178.68,92.78
train_11,-0.25939346781537725,1.8834511230306872,-2.9198679834326597,0.5107037279952135,-3.0828225352540333,-0.5255075861525639,-0.13617352578943892,-0.7998815947774777,-15.32,6.53
train_110,-12.30453288723542,3.589236325943453,4.109315953940718,1.0389624462640026,1.2058090866501951,-1.7012825728365033,0.48740042225662816,-0.01194878699132082,775.51,107.79
train_111,-10.210602912655274,0.4646191163153945,-0.8925209590820945,-3.321556093064069,-1.9649327449303484,1.6548900585896247,-0.726102452579047,-1.002831502094621,12.98,8.58
train_112,-11.115666133584268,1.6688314658702232,0.8398211972684906,-1.7784932817021482,-0.3411715256667256,-0.30645617339531156,1.0195376202838116,1.4150961153783155,65.88,88.46
train_113,-12.267938086794574,3.622777387994328,4.048933754324927,0.9485059165736834,1.1828959293153158,-1.6125341167580765,0.33713156692362684,-0.1916273021510477,176.84,103.13
train_114,-11.164259350296758,1.7264678072080273,0.8182987676684728,-1.837823304055409,-0.43857373116525966,-0.03614529720867202,0.7171607152649688,1.2517251899681636,63.8,45.59
train_115,-12.316531303507062,3.6804137293321317,4.027411324724909,0.8891758942204228,1.0854937238167819,-1.3422232405714352,0.03475466190478462,-0.3549982275611999,177.56,53.59
train_116,-10.222601328926917,0.5557965197040728,-0.9744255882979038,-3.4713426451076494,-2.085248107763762,2.0139493908546955,-1.1787482129308928,-1.3458809426644993,12.8,15.78
train_117,-11.140506717420589,1.6476003600613476,0.8814033968445336,-1.7176688284204822,-0.3246880919608526,-0.36641568274853525,1.1211650618962679,1.5377792675699378,482.89,91.23
train_118,-12.292778670630895,3.6015462821854514,4.09051595390097,1.009330369855349,1.1993793630211889,-1.6724936261113001,0.4387590085360832,-0.06894414995942541,754.93,103.98
train_119,-10.198848696050748,0.4769290725573931,-0.9113209591218433,-3.351188169472723,-1.9713624685593552,1.6836790053148274,-0.7747438662995919,-1.0598268650627254,11.5,12.88
train_12,1.1007893246304032,0.47823327065351773,-3.2506687977147384,-0.17471221156005204,-2.2334631786959074,-2.5730007200679728,0.16478553780855903,0.6944343097452946,-31.67,83.37
train_120,1.5720453847261733,0.7357545357912723,-1.9797580512988788,2.011205695756652,-4.598367931176449,3.041465485631983,-1.8922465008893354,-1.0932897366674303,78.94,25.27
train_121,1.569278926817005,0.7334894911102545,-1.9749624749218424,2.0180890344332063,-4.596312968367402,3.0347328646222635,-1.8805926360725937,-1.0789043141121277,47.13,28.09
train_122,-1.3354857825592266,-3.973310618397526,-2.620369458673455,2.3050995509853682,1.1933020603337643,0.7797699038903037,-0.9123277558486018,0.9317725123741893,12.58,69.1
train_123,-1.2998546289553812,-4.013043724215282,-2.6512583298656383,2.3122065795492697,1.2093209975039187,0.7738196506680453,-0.8614365794462333,0.9749293063691449,5.77,65.59
train_124,-0.886297344894992,-4.255935827038721,-2.6558556200217613,2.1883291189909273,1.1630397966928767,0.985563587330849,-0.4198251596806306,1.3666318090695098,9.99,79.18
train_125,-4.528515388881455,-0.3278248138624097,1.9976794670603168,5.604251334732406,3.3147390475379113,-1.1862123599225392,-1.7487039243664215,-0.29409112677314553,64.3,148.95
train_126,-2.2420085450620517,-3.3402615365508006,-2.6443641009895815,1.8704418967235663,1.3095913509270618,0.32212896850101164,-1.2844770719405016,0.09446446733113383,37.1,85.72
train_127,-0.901659432134142,-4.1038621300039555,-3.3337538972144585,1.9829515662158417,2.7082675284446216,-2.3867474849148764,1.061714805590699,0.9794769492386622,30.3,24.4
train_128,3.0752505141568203,0.26605864119489286,-3.094407669147658,2.550067685027922,-2.0352874279281865,-1.5144691793884912,0.8982674076382949,-0.8488417861930294,-23.02,15.94
train_129,0.43130532871096683,-3.85456440677099,-3.8901727043470933,3.2168769356790086,2.9528286869610056,-1.7208058402564415,1.0888548377786555,-0.9759435577187086,-23.13,15.81
train_13,0.4465732501920586,0.961144073285889,-2.254548075423222,-0.3034988847271487,-2.540268678701111,-2.1834737869778085,0.08708978046670947,0.9758286428724906,-31.73,8.14
train_130,1.0209749705190814,3.2539264268579777,2.49743055368489,5.989860862402056,0.016875082006362806,-3.4129027723852907,1.5871846463000974,-0.07017675270633736,15.22,43.24
train_131,6.144432891677004,-0.14063808524376678,2.618389159793174,-0.09768626910585358,-2.866492924612174,-0.7572948973371975,0.7070885375705682,0.9104938894439666,0.2,41.28
train_132,-0.6512987047683687,-5.626750268212354,-1.4491767497169277,-0.6535935355876955,-0.5554003158250493,0.283663976895329,1.0484565630098743,-1.1945720334602392,14.15,17.37
train_133,2.3243780860737613,-6.027033750782586,0.7601709835364645,0.8432189715328194,1.737814422675337,-2.781585927377158,1.9810627503986264,0.03009481033882839,16.5,20.31
train_134,0.490144821836628,-5.036305643928418,-1.1769209613987455,1.3145440873189693,2.2916969761257127,-2.6697797538765817,2.6014829387059493,-1.0173634453369442,-18.6,16.57
train_135,0.18718379944553123,-5.6108895591582115,-1.4690366150415248,0.6406935536045484,1.0726476196591959,-1.5636819143694773,1.93636521660489,-0.40292419897173426,16.21,17.9
train_136,0.19045806715623922,-5.6115441941358375,-1.4732639246345536,0.6387655341108311,1.0713901221979054,-1.561712570140707,1.9307239779454206,-0.41556606788425976,15.76,16.22
train_137,3.5641990624518844,-7.502229926929912,3.150312513712228,-0.02612625770035287,0.7131606071440082,-1.1852922304626574,1.651469253872523,-1.2548658338521748,-27.13,5.61
train_138,3.350356853165241,-7.441447901392891,2.3231685324528506,-0.16233649529698901,0.1452134288270485,-0.17444730268286993,1.0598709264647148,-0.9117455805513226,-26.8,16.45
train_139,0.25951427718002446,-0.4659549260910644,-0.5016150771402805,0.4412442669568215,3.4545554983493374,4.943255284854578,-4.669818876034229,3.593536406362111,2.68,134.0
train_14,1.0401923644352091,1.350017828726825,-3.4480077113736898,1.3945629566980384,-1.5304719385068208,-1.9821457836982943,0.6613587340449405,-0.8673939716248198,-30.7,76.38
train_140,0.3280205802703947,-0.36089926432224256,-0.493587073158331,0.3733181535037877,3.549060785569907,5.053268351178063,-4.742730431301599,3.6698820504329404,20.06,122.71
train_141,0.527070826015831,-0.02951898303507418,-0.5267583785314799,0.05957107910115898,3.7293475527293887,5.470422161209544,-5.061447439452746,3.731115504519713,2.72,134.08
train_142,2.5485394494420737,4.146024352474217,-1.4082522494553582,1.7103268468375046,0.580061599754984,-1.1873350027109422,-1.0331947636349217,0.3588680370724337,48.9,93.48
train_143,1.4128943314345646,0.740704392938861,-2.236352189379009,0.2809531679134263,-2.865069862599869,-1.4837338362974084,-0.6530655602580574,-0.025200124002303655,7.1,14.85
train_144,-0.5334014625976469,-3.78424734083713,-2.914666081394574,1.9465288706743238,2.7772346651172977,-2.286912799874248,0.1391100153815023,-0.08499357718167688,4.7,17.01
train_145,3.081546854174875,3.977845253263005,-1.0747831803446974,-0.03192325638026545,0.13935841776720054,-0.9473705207774822,-2.18753864067744,1.1224593738771997,3.74,112.26
train_146,3.094707989163363,3.993858548795604,-1.0642518231746074,-0.032220617066138386,0.15098635873738747,-0.935259118945779,-2.1939608148787695,1.13605577936489,13.93,65.64
train_147,2.8866257325394082,-5.508191244010234,1.0026025191919212,-0.29147374094015027,0.9532799876811279,-0.4030612443401889,0.6966114779574402,1.2577141016879207,10.1,16.13
train_148,3.32963198068443,-5.233673183083433,1.0744304014153438,0.23459290820512604,1.5281247847913413,-0.9024195959410778,0.7886040349128058,0.45175108662135816,11.04,22.21
train_149,1.3014648033613663,0.6278468019340472,-2.1118648806366878,0.4786029841914336,-2.867413134009565,-1.67007922022147,-0.34479910377993284,0.3007242981592968,12.45,17.35
train_15,0.3522227795642835,1.3267363000055228,-3.695922427513846,0.747588147775261,-2.0128738971978812,-1.5195031354638515,0.5700620470041036,-1.0184236751122069,-29.38,60.24
train_150,-0.42131113628933703,-3.670720482913176,-3.0398916234879034,1.7477069534996779,2.7795918325708766,-2.0994623524813965,-0.17098451964911301,-0.4128507929812669,11.1,17.0
train_151,1.4018727421449146,-0.13347529738692432,-1.943655930370992,0.6252603462549763,-3.802800001752348,-1.1821682433320886,-0.029662610681212436,0.09361838791601809,-17.02,19.11
train_152,-3.5357414735617514,-4.538030335492996,-4.2718758736962075,0.04484263650517534,-1.976182894309761,3.6179233251057465,-0.9994037822314162,-1.2530863983775284,16.58,38.8
train_153,-5.20991819217398,-2.975665937998496,-2.1397401702768852,1.4823302630290118,-1.312932894391582,3.288721223677937,-0.5900758324827431,0.5245809395013217,10.77,45.93
train_154,-6.362190145384285,-1.0217200158743893,1.0693723867795455,4.209329461304845,0.21113456059045882,1.9826432803151812,-1.272481885842928,-1.0821424780280413,29.31,75.09
train_155,-3.722685737362259,-4.457051685840082,-4.225955048922581,-0.0663975319955504,-2.3553297977691767,4.265739291679308,-1.5842747060930027,-1.654918497136006,36.3,61.83
train_156,-4.513417862417686,-3.1035764662840526,-1.6443126003975201,1.2974102424734604,-1.3132952825772624,3.3016168229261114,-0.334542612767206,0.49625786172737263,32.46,45.2
train_157,-5.665689815627993,-1.1496305441599475,1.5647999566589077,4.0244094407492925,0.21077217240477925,1.9955388795633555,-1.0169486661273905,-1.1104655558019902,79.9,52.89
train_158,-4.835948724693716,-3.087968562927028,-2.1910771877674518,1.3858043984388846,-1.0073317303209977,2.718698988485605,0.03591383192106581,0.8744994211568958,36.63,47.24
train_159,-5.988220677904024,-1.1340226408029224,1.0180353692889776,4.112803596714719,0.5167357246610443,1.4126210451228434,-0.6464922214391178,-0.7322239963724673,95.96,57.58
train_16,0.3533505916967001,1.3723963907665633,-3.7133390687250007,0.7125993767805701,-2.0505617664915494,-1.442418552876728,0.5129088010017334,-1.2224441592949198,-31.38,68.26
train_160,-3.4234939754021974,-4.53696285090745,-4.258923736503697,-0.20741946398596908,-2.2013873950823557,3.9548434431163972,-1.1922334112338306,-1.4657328549838238,48.52,45.28
train_161,-1.4310693401089707,-5.826303405027866,0.6834640158931359,-1.1399805061882244,-2.051144559229895,1.7541036410796211,-0.24636746275178542,-0.13661465807151377,35.0,42.16
train_162,1.2831997309524426,0.6227175121563737,-2.101885455514886,0.6247880547411483,-2.7659208016438934,-1.8479341610224083,-0.010957482072573976,0.5797341477560702,30.02,70.33
train_163,1.6481941805939315,0.8866651494208734,-2.378537507055839,0.5796815266579811,-2.1867415063147453,-1.1105599940369348,-0.4505843861007119,1.5792581240236876,-2.51,76.57
train_164,2.9849126158152903,3.2754548391608123,-1.695419348592949,0.3870299571978158,0.3599753309631939,-0.8599980017456048,-1.5524429392521177,2.7203691811969812,4.36,127.51
train_165,-2.3618469272715057,4.142020909640969,3.9727016603908205,4.486540503076936,-2.6703981724906134,-0.7625845117296911,-2.1108425263938604,-0.6672361231108044,141.4,50.69
train_166,0.22597262338480847,0.7393040306843341,-1.291399693703749,0.21515139929658422,-5.256851489952969,1.5802768926476758,-2.4669726267124954,-1.2080700926131265,67.5,47.54
train_167,0.39704382195951626,0.5510414169317249,-2.396026254829796,-0.15659933133152082,-2.730685269343383,-2.198091054644225,0.2849587387323545,0.9795763555058836,-37.0,41.93
train_17,-0.3089228960479198,1.4733484666765246,-3.061346162839234,0.6576032813908415,-3.2732391258963056,-0.5401248538189808,0.06169543247620654,-0.7961338821440845,-35.6,76.37
train_18,6.255951472770976,0.07280936521246463,2.6483789159141646,-0.09759271801256937,-2.570172019875931,-0.8645784486847964,0.4220626148649518,0.9151228672774337,-18.1,39.15
train_19,5.645344067140717,-0.04378106704827549,0.49777108464599645,0.6246941431082361,-2.7007253438321954,-0.1985040963030885,0.01794788125634862,0.3235846718629784,-17.2,39.27
train_2,3.077585456609381,6.1420312792160585,-1.3469570713625916,0.8904612428804254,2.2740491940012757,0.8799630176441835,-1.8833583784622796,-2.263016575701755,20.5,112.37
train_20,3.1355102842047016,1.690196907990905,-1.5007694299381513,1.0525793090374391,-1.2979163162693441,0.3787527592968906,0.2980479572557794,-2.552944592181067,-17.51,97.66
