scenario_id,calcium_total,ca_mg_total,boron_total,antiwear_zinc_total,antiwear_sulfur_total,antiwear_phosphorus_total,ao_dpa_active_total,ao_phenol_active_total,ao_dpa_phenol_product,ao_dpa_phenol_ratio,ao_dpa_phenol_min,ao_dpa_phenol_max,ao_dpa_phenol_imbalance,ao_dpa_phenol_hmean,ao_mo_product,ao_mo_log1p,ao_mo_x_severity,ao_pair_x_severity,zddp_boron_interaction,zddp_boron_log1p,zddp_calcium_interaction,zddp_calcium_x_severity,boron_total_x_severity,dominant_base_oil_share,base_oil_kv100_wmean,base_oil_group1_share,ao_ratio_x_baseoil_share,ao_min_x_baseoil_kv100,antiwear_ca_ratio,synergy_ao_phenol_x_diphenylamine_active_no,synergy_ao_diphenylamine_active_no_x_mo,synergy_zn_x_boron_dispersant,synergy_aw_sulfur_x_ca_ca_mg,ao_k_avg_weighted_active_no,ao_k_avg_arithmetic,ao_ionization_min,ao_homo_max
train_1,1222.5390180299999,1629.90192,0.0,902.542325,1488.525,798.7425149999999,0.0,290.59282054369595,0.0,0.0,0.0,290.59282054369595,290.59282054369595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245929.647281106,1938994412.0601184,0.0,0.3304371526577499,5.4237720703592425,0.5203186906692903,0.0,0.0,1.9162868854159067,0.0,0.0,0.0,591.32835,4.0792412284025166e-182,4.0792412284025166e-182,7.2,-5.73
train_2,1222.5156030199998,1629.90192,0.0,902.542325,1488.525,798.7425149999999,335.713,696.36468,233778.67581684003,0.48209366321954517,335.713,696.36468,360.65168,453.0253494423792,0.0,0.0,0.0,106760022.82749456,0.0,0.0,4245894.793453346,1938978495.315641,0.0,0.36210193518778205,5.426050075214808,0.47435229669236956,0.17456704839356418,1821.595548900589,1.9162711550721205,25.41,0.0,0.0,591.32835,1.4705605036889086e-179,1.0127829209652237e-180,6.5,-5.15
train_3,1144.50420749,1105.7069000000001,0.0,241.93259999999998,467.91360000000003,223.3224,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,1052904.3800656332,480831261.6974743,0.0,0.2748066950284135,4.679063410241282,0.2748066950284135,0.2577050646125601,307.3585044544657,4.8090312029421005,18.17435897629,0.0,0.0,785.364976,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_4,1144.19701039,1105.7069000000001,0.0,358.80152,710.4485500000001,319.25950000000006,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,1598440.970775906,729962191.5137296,0.0,0.33732234553917706,4.476578348068664,0.0653144048700636,0.3163302729704089,294.0576575910682,3.166878033916914,18.17435897629,0.0,0.0,823.9358026999998,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_5,1144.32895039,1105.7069000000001,0.0,456.744446,934.5993599999998,425.2837,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,2102882.0657515493,960325985.9297757,0.0,0.26784528209544817,4.662652838115698,0.2578282162186212,0.251176870787082,306.28052613625744,2.4074870412735074,18.17435897629,0.0,0.0,813.6865824,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_6,1144.42289219,1105.7069000000001,0.0,837.4238670000001,1722.3740099999998,752.8017000000001,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,3875565.073194757,1769859523.063944,0.0,0.27036624760609373,4.6559011513205375,0.25084287955243173,0.2535409528548052,305.8370210639895,1.306411834955399,18.17435897629,0.0,0.0,847.1061098999998,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_7,1143.98246519,1105.7069000000001,0.0,256.34087999999997,492.82848,245.24640000000002,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,1108710.9903187526,506316541.58337796,0.0,0.28387285826397707,4.6197275486111335,0.21341744780176286,0.26620702699075965,303.46084800227004,4.564852584463356,18.17435897629,0.0,0.0,752.9089367999999,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_8,1143.96939719,1105.7069000000001,0.0,833.5238099999999,1496.5335,766.4065499999999,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,3366715.9429007913,1537482705.2206576,0.0,0.27036624760609373,4.6559011513205375,0.25084287955243173,0.2535409528548052,305.8370210639895,1.50325822688683,18.17435897629,0.0,0.0,735.949665,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_9,1143.97248749,1105.7069000000001,0.0,242.46431999999996,429.62976,229.17131999999998,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,966529.2153242758,441386198.85204744,0.0,0.2748066950284135,4.679063410241282,0.2748066950284135,0.2577050646125601,307.3585044544657,5.236321111120606,18.17435897629,0.0,0.0,720.7846416,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
train_10,1085.0694488000001,1105.7069000000001,0.0,111.26243,197.82438,102.77163999999999,65.68803999999999,70.047179494622,4601.261928529909,0.9377685088273225,65.68803999999999,70.047179494622,4.3591394946220134,67.7976128179793,0.0,0.0,0.0,2101264.4836349497,0.0,0.0,433388.9729200237,197916326.11682898,0.0,0.2875356592824605,4.841361083132428,0.2875356592824605,0.26964188643999404,318.0195204832462,11.074349570693212,18.17435897629,0.0,0.0,772.7188560000001,1.3351735897142296e-177,1.6271957938188857e-178,7.18,-4.98
