scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",detergent_share,zdp_share,weighted_zdp_zinc,weighted_zdp_phosphorus,weighted_zdp_sulfur,detergent_weighted_ca,detergent_weighted_tbn,zdp_detergent_interaction,zdp_tbn_interaction,zdp_ca_interaction,zdp_present
train_1,160,168,0,1,25.4,98.04,0.14942827249994436,0.12272415848588057,1.1161762214290838,0.9878067516528527,1.8408623772882087,1.3005735825535925,47.12256783930785,0.01833845899655452,5.783077483772876,0.15961179846785656,True
train_10,160,168,0,1,-23.78,85.04,0.19736239887226242,0.01835236473723015,0.18517536019865222,0.17104403935098503,0.32924142338590895,1.80577441253959,46.981438764148734,0.0036220667295184606,0.8622205000795009,0.03314023065208407,True
train_100,150,168,7,1,157.99,105.26,0.3116008935843242,0.0,0.0,0.0,0.0,3.334611125417952,79.4027196954946,0.0,0.0,0.0,False
train_101,150,216,7,1,241.52,126.73,0.3116008935843242,0.0,0.0,0.0,0.0,3.334611125417952,79.4027196954946,0.0,0.0,0.0,False
train_102,150,168,7,1,552.67,86.92,0.10816554265322095,0.17585911199817264,1.5563531411838278,1.5419326939999778,2.8119872008507807,0.6117078963036746,10.616815640575325,0.0190218962797959,1.8670637707998872,0.10757440744623449,True
train_103,160,168,7,1,10.67,10.6,0.10816554265322095,0.17585911199817264,1.5563531411838278,1.5419326939999778,2.8119872008507807,0.6117078963036746,10.616815640575325,0.0190218962797959,1.8670637707998872,0.10757440744623449,True
train_104,160,168,7,1,11.36,11.48,0.23728045978904377,0.1288984769762393,1.1407515212397177,1.1301818461276663,2.0610866468500664,1.6950499943734028,44.340580527582674,0.030585089883029534,5.715433298247699,0.2184893626733146,True
train_105,160,168,7,1,11.08,10.1,0.033971603908739066,0.1673651648954747,1.481181709324951,1.4674577658035224,2.6761689866786407,0.5353924776017277,13.958932046100882,0.005685663089949867,2.3362389636604,0.0896060502976099,True
train_106,150,168,7,1,861.54,84.25,0.06047321280961596,0.18268387322642446,1.6167522780538564,1.6017722004492898,2.921115132890527,0.9530578338795476,24.848443143471197,0.01104748074250647,4.539409837095908,0.17410829650190196,True
train_107,150,216,7,1,1763.34,95.47,0.06047321280961596,0.18268387322642446,1.6167522780538564,1.6017722004492898,2.921115132890527,0.9530578338795476,24.848443143471197,0.01104748074250647,4.539409837095908,0.17410829650190196,True
