scenario_id,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,target_viscosity,target_oxidation
train_1,2.241244270172411,3.431581788058292,-0.7527302043806211,0.8120457237102658,0.005248737739459876,-1.1531925550469075,0.6804234765307828,0.6562855647759009,-0.632115331739233,-1.2070158396917336,-0.28176131873088545,-0.028294455049191307,25.4,98.04
train_10,2.3840025845520048,-0.5517035242996009,1.45330109933285,-0.009182500457175282,-0.07655039770127335,-0.25989393903412095,-0.5710125586828761,-0.020960439772099777,0.9890307327680941,-0.2780757420463619,-0.019799146751640875,0.2978451987827224,-23.78,85.04
train_100,-2.793892257583498,0.10942149487687018,0.18655905286572005,-1.9022316990847528,-3.973961888957172,0.73041813306629,1.377370742320871,0.848394952957671,0.6337445808546913,-0.3265823627609279,-0.72679769250667,-0.5789688630372172,157.99,105.26
train_101,-4.322351815800873,1.7780853997502708,2.2484044902428963,0.13286948792147293,-3.5797098927129363,1.4723735450424502,0.7912420646518326,0.62718602309648,-0.5122130847576207,0.014935912707688227,-0.022740326723481693,0.741933014710552,241.52,126.73
train_102,-4.715626064844473,0.6869356471950377,0.012516407285710053,-0.5705297293573905,1.006750744150121,-2.7134605024197582,-1.5315950630738362,-0.5933705142544463,0.6845226908466409,-0.46846543536837343,0.36084221785301723,-0.2593731340553779,552.67,86.92
train_103,-2.2993922264213595,-1.9528269353956176,-2.3332286698336606,1.1493950781805595,2.099683445471084,-0.5021621852823259,-1.194153760569946,0.1037595009084976,0.2258377177015145,-1.7195443929688652,1.055336889296058,0.022478033035153527,10.67,10.6
train_104,-3.350978353108193,-2.3073690820504065,-3.386108728136765,0.1787426181506344,1.4785910295210705,0.5139937951504477,-0.31902283529366915,0.31021116757558465,-0.1868077064620518,-1.2417209453207934,0.9946904594229121,-0.5631271371754674,11.36,11.48
train_105,-3.7030625419855068,-1.7458736808609008,-2.9900909402603237,0.48716916517412506,1.5849659796481672,1.5192102083766175,0.4736801861326284,0.1931871529726198,0.27059195466142894,-1.3010358018129957,0.1170878105605861,-0.4348472073000322,11.08,10.1
train_106,-6.264478162579085,0.505793733149915,-0.23876999063190849,-1.040449956213551,0.6975959921100123,-0.7327534199810746,0.07045451076825883,-0.38570795388812756,0.3075037691686781,0.06231695557355502,-0.7860836825216115,-0.7928684819837692,861.54,84.25
train_107,-7.778885525464269,2.186576473750766,1.745821651492633,0.9365934372090471,1.0978003973023358,0.12429647461841566,-0.31317874052054445,-0.3169194993715998,-0.6480236861503467,0.2521968928815916,0.09985730633518244,0.36285471600308317,1763.34,95.47
