scenario_id,ao_dpa_phenol_ratio,ao_dpa_phenol_min,ao_dpa_phenol_imbalance,ao_ratio_x_baseoil_share,ao_pair_x_biofuel,ao_mo_x_severity,ao_mo_x_biofuel,zddp_sulfur_calcium_interaction,zddp_sulfur_camg_interaction,zddp_zinc_tbn_interaction,zddp_zinc_boron_log1p,active_no_coverage_share,mo_coverage_share,zddp_calcium_coverage_share,zddp_phosphorus_total,synergy_ao_phenol_x_diphenylamine_active_no,synergy_ao_diphenylamine_active_no_x_mo,ao_k_avg_weighted_active_no,ao_ionization_min,ao_homo_max
train_1,0.0,0.0,290.59282054369595,0.0,0.0,0.0,0.0,1819779.8918131057,2426149.755468,318816.9631483828,0.0,1.0,0.0,0.3477372056957564,798.7425149999999,0.0,0.0,4.0792412284025166e-182,7.2,-5.73
train_2,0.48209366321954517,335.713,360.65168,0.17456704839356418,0.0,0.0,0.0,1819745.0379853453,2426149.755468,318816.9631483828,0.0,1.0,0.0,0.30616542437219585,798.7425149999999,25.41,0.0,1.4705605036889086e-179,6.5,-5.15
train_3,0.9377685088273225,65.68803999999999,4.3591394946220134,0.2577050646125601,0.0,0.0,0.0,535529.083941793,517375.2961238401,59655.109485921486,0.0,1.0,0.0,0.6334658870581437,223.3224,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_4,0.9377685088273225,65.68803999999999,4.3591394946220134,0.3163302729704089,0.0,0.0,0.0,812893.1069459106,785547.8638299952,88472.34295549689,0.0,1.0,0.0,0.5964637357964296,319.25950000000006,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_5,0.9377685088273225,65.68803999999999,4.3591394946220134,0.251176870787082,0.0,0.0,0.0,1069489.1046639655,1033392.9610875839,112622.85418838369,0.0,1.0,0.0,0.6428540735329634,425.2837,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_6,0.9377685088273225,65.68803999999999,4.3591394946220134,0.2535409528548052,0.0,0.0,0.0,1971124.2459570875,1904440.827237669,206489.79290930103,0.0,1.0,0.0,0.6611911325022104,752.8017000000001,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_7,0.9377685088273225,65.68803999999999,4.3591394946220134,0.26620702699075965,0.0,0.0,0.0,563787.1394662407,544923.850852512,63207.86558784331,0.0,1.0,0.0,0.6204666557492693,245.24640000000002,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_8,0.9377685088273225,65.68803999999999,4.3591394946220134,0.2535409528548052,0.0,0.0,0.0,1711988.5258696408,1654727.4170311503,205528.12702658682,0.0,1.0,0.0,0.6611911325022104,766.4065499999999,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_9,0.9377685088273225,65.68803999999999,4.3591394946220134,0.2577050646125601,0.0,0.0,0.0,491484.6252469317,475044.59007734404,59786.21961665977,0.0,1.0,0.0,0.5930367475421802,229.17131999999998,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
train_10,0.9377685088273225,65.68803999999999,4.3591394946220134,0.26964188643999404,0.0,0.0,0.0,214653.19096580177,218735.781954222,26485.637951627228,0.0,1.0,0.0,0.2717088652889494,102.77163999999999,18.17435897629,0.0,1.3351735897142296e-177,7.18,-4.98
